sample_id,param_name,data_qual
'St22-01_blank','Total Aluminum','U'
'St22-01_blank','Total Antimony','U'
'St22-01_blank','Total Arsenic','U'
'St22-01_blank','Benzene','J'
'St22-01_blank','Total Beryllium','U'
'St22-01_blank','Total Cadmium','U'
'St22-01_blank','Chromium','U'
'St22-01_blank','Dissolved Copper','U'
'St22-01_blank','Total Copper','U'
'St22-01_blank','Dissolved Iron','U'
'St22-01_blank','Total Iron','U'
'St22-01_blank','Dissolved Lead','U'
'St22-01_blank','Total Lead','J'
'St22-01_blank','Total Magnesium','U'
'St22-01_blank','Total Mercury','U'
'St22-01_blank','Total Nickel','U'
'St22-01_blank','Nitrate + Nitrite Nitrogen','U'
'St22-01_blank','Total Selenium','U'
'St22-01_blank','Dissolved Selenium','U'
'St22-01_blank','Sulfate','U'
'St22-01_blank','Total Zinc','U'
'St22-01_blank','Dissolved Zinc','U'
'St22-01_blank','Alkalinity','U'
'St22-01_blank','Total Dissolved Solids','U'
'St22-01_blank','Total Suspended Solids','U'
'St22-01_blank','Turbidity','U'
'St22-01_BMP_NTIB_US','Benzene','J'
'St22-01_BMP_NTIB_US','Total Beryllium','U'
'St22-01_BMP_NTIB_US','Total Cadmium','J'
'St22-01_BMP_NTIB_US','Dissolved Copper','U'
'St22-01_BMP_NTIB_US','Total Copper','U'
'St22-01_BMP_NTIB_US','Dissolved Iron','J'
'St22-01_BMP_NTIB_US','Total Iron','J'
'St22-01_BMP_NTIB_US','Dissolved Lead','U'
'St22-01_BMP_NTIB_US','Total Lead','J'
'St22-01_BMP_NTIB_US','Total Magnesium','E'
'St22-01_BMP_NTIB_US','Total Magnesium','B'
'St22-01_BMP_NTIB_US','Total Mercury','U'
'St22-01_BMP_NTIB_US','Nitrate + Nitrite Nitrogen','J'
'St22-01_BMP_NTIB_US','Total Selenium','U'
'St22-01_BMP_NTIB_US','Dissolved Selenium','U'
'St22-01_BMP_NTIB_US','Sulfate','J'
'St22-01_BMP_NTIB_US','Dissolved Zinc','J'
'St22-01_BMP_NTIB_US','Dissolved Zinc','B'
'St22-01_BMP_NTIB_US','Alkalinity','B'
'St22-01_BMP_NTIB_US','Total Dissolved Solids','J'
'St22-01_BMP_NTIB_US','Total Suspended Solids','U'
'St22-01_BMP_VRIT_US','Total Aluminum','J'
'St22-01_BMP_VRIT_US','Benzene','J'
'St22-01_BMP_VRIT_US','Total Beryllium','U'
'St22-01_BMP_VRIT_US','Total Cadmium','J'
'St22-01_BMP_VRIT_US','Dissolved Copper','U'
'St22-01_BMP_VRIT_US','Total Copper','U'
'St22-01_BMP_VRIT_US','Dissolved Iron','J'
'St22-01_BMP_VRIT_US','Total Iron','J'
'St22-01_BMP_VRIT_US','Dissolved Lead','U'
'St22-01_BMP_VRIT_US','Total Lead','J'
'St22-01_BMP_VRIT_US','Total Mercury','U'
'St22-01_BMP_VRIT_US','Total Nickel','U'
'St22-01_BMP_VRIT_US','Total Selenium','J'
'St22-01_BMP_VRIT_US','Dissolved Selenium','U'
'St22-01_BMP_VRIT_US','Alkalinity','B'
'St22-01_BMP_VRIT_US','Total Dissolved Solids','J'
'St22-01_BMP_VRIT_US','Total Suspended Solids','U'
'St22-01_BMP_SVS_US','Total Aluminum','U'
'St22-01_BMP_SVS_US','Total Aluminum','H'
'St22-01_BMP_SVS_US','Benzene','U'
'St22-01_BMP_SVS_US','Total Beryllium','U'
'St22-01_BMP_SVS_US','Total Cadmium','J'
'St22-01_BMP_SVS_US','Dissolved Copper','U'
'St22-01_BMP_SVS_US','Total Copper','U'
'St22-01_BMP_SVS_US','Dissolved Iron','U'
'St22-01_BMP_SVS_US','Total Iron','J'
'St22-01_BMP_SVS_US','Total Lead','J'
'St22-01_BMP_SVS_US','Total Magnesium','E'
'St22-01_BMP_SVS_US','Total Mercury','U'
'St22-01_BMP_SVS_US','Total Nickel','U'
'St22-01_BMP_SVS_US','Nitrate + Nitrite Nitrogen','J'
'St22-01_BMP_SVS_US','Total Selenium','J'
'St22-01_BMP_SVS_US','Dissolved Selenium','U'
'St22-01_BMP_SVS_US','Dissolved Zinc','J'
'St22-01_BMP_SVS_US','Alkalinity','U'
'St22-01_BMP_SVS_US','Total Dissolved Solids','J'
'St22-01_BMP_SVS_US','Total Suspended Solids','U'
'St22-01_BMP_SVS_US','Turbidity','U'
'St22-01_BMP_WTBB_US','Total Aluminum','U'
'St22-01_BMP_WTBB_US','Benzene','J'
'St22-01_BMP_WTBB_US','Total Beryllium','U'
'St22-01_BMP_WTBB_US','Dissolved Copper','U'
'St22-01_BMP_WTBB_US','Total Copper','U'
'St22-01_BMP_WTBB_US','Dissolved Iron','J'
'St22-01_BMP_WTBB_US','Total Iron','J'
'St22-01_BMP_WTBB_US','Total Lead','J'
'St22-01_BMP_WTBB_US','Total Magnesium','J'
'St22-01_BMP_WTBB_US','Total Mercury','U'
'St22-01_BMP_WTBB_US','Total Selenium','J'
'St22-01_BMP_WTBB_US','Dissolved Selenium','U'
'St22-01_BMP_WTBB_US','Dissolved Zinc','J'
'St22-01_BMP_WTBB_US','Total Dissolved Solids','J'
'St22-01_BMP_WTBB_US','Total Suspended Solids','U'
'St22-01_BMP_WTBB_US_dup','Total Aluminum','U'
'St22-01_BMP_WTBB_US_dup','Benzene','J'
'St22-01_BMP_WTBB_US_dup','Total Beryllium','U'
'St22-01_BMP_WTBB_US_dup','Dissolved Copper','U'
'St22-01_BMP_WTBB_US_dup','Total Copper','U'
'St22-01_BMP_WTBB_US_dup','Dissolved Iron','J'
'St22-01_BMP_WTBB_US_dup','Total Iron','J'
'St22-01_BMP_WTBB_US_dup','Total Lead','J'
'St22-01_BMP_WTBB_US_dup','Total Mercury','U'
'St22-01_BMP_WTBB_US_dup','Total Nickel','J'
'St22-01_BMP_WTBB_US_dup','Total Selenium','J'
'St22-01_BMP_WTBB_US_dup','Dissolved Selenium','U'
'St22-01_BMP_WTBB_US_dup','Total Zinc','J'
'St22-01_BMP_WTBB_US_dup','Dissolved Zinc','J'
'St22-01_BMP_WTBB_US_dup','Total Dissolved Solids','J'
'St22-01_BMP_WTBB_US_dup','Total Suspended Solids','U'
'St22-01_BMP_VRBB_US','Total Antimony','J'
'St22-01_BMP_VRBB_US','Benzene','J'
'St22-01_BMP_VRBB_US','Total Beryllium','U'
'St22-01_BMP_VRBB_US','Dissolved Copper','U'
'St22-01_BMP_VRBB_US','Total Copper','U'
'St22-01_BMP_VRBB_US','Dissolved Iron','J'
'St22-01_BMP_VRBB_US','Dissolved Lead','J'
'St22-01_BMP_VRBB_US','Total Lead','J'
'St22-01_BMP_VRBB_US','Total Magnesium','J'
'St22-01_BMP_VRBB_US','Total Mercury','U'
'St22-01_BMP_VRBB_US','Total Nickel','U'
'St22-01_BMP_VRBB_US','Nitrate + Nitrite Nitrogen','J'
'St22-01_BMP_VRBB_US','Total Selenium','J'
'St22-01_BMP_VRBB_US','Total Selenium','H'
'St22-01_BMP_VRBB_US','Dissolved Selenium','U'
'St22-01_BMP_VRBB_US','Dissolved Selenium','H'
'St22-01_BMP_VRBB_US','Alkalinity','U'
'St22-01_BMP_VRBB_US','Total Dissolved Solids','J'
'St22-01_BMP_VRBB_US','Total Suspended Solids','U'
'St22-01_BMP_ETW_US','Total Aluminum','U'
'St22-01_BMP_ETW_US','Total Arsenic','J'
'St22-01_BMP_ETW_US','Benzene','J'
'St22-01_BMP_ETW_US','Total Beryllium','U'
'St22-01_BMP_ETW_US','Dissolved Copper','U'
'St22-01_BMP_ETW_US','Total Copper','U'
'St22-01_BMP_ETW_US','Dissolved Iron','U'
'St22-01_BMP_ETW_US','Total Iron','J'
'St22-01_BMP_ETW_US','Dissolved Lead','U'
